,Joint: NI/RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Concatenation: NI+RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contenation: NI+RD+CI,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Logistic Regression,,,,,Support Vector Machine,,,,,Multi-layer Perceptron,,,,,Random Forest,,,,,Gradient Boosting,,,,
,,,,Precision,,Recall,,AUC,Precision,,Recall,,AUC,Precision,,Recall,,AUC,Precision,,Recall,,AUC,Precision,,Recall,,AUC
,Bins,LBP,Optimization,Benign (0),Malign (1),Benign (0),Malign (1),,Benign (0),Malign (1),Benign (0),Malign (1),,Benign (0),Malign (1),Benign (0),Malign (1),,Benign (0),Malign (1),Benign (0),Malign (1),,Benign (0),Malign (1),Benign (0),Malign (1),
,12,NI/RD,None,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0.33,0.76,0.22,0.85,0.53,0,0.74,0,1,0.5
,,,PCA,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0.4,0.8,0.44,0.77,0.61,0,0.74,0,1,0.5
,,,LDA,0.18,0.62,0.44,0.31,0.38,0.29,0.75,0.22,0.81,0.51,0.2,0.73,0.11,0.85,0.48,0.29,0.75,0.22,0.81,0.51,0,0.74,0,1,0.5
,,,PCA+LDA,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0.36,0.79,0.44,0.73,0.59,0,0.74,0,1,0.5
,,NI+RD,None,0.28,0.8,0.78,0.31,0.54,0,0.74,0,1,0.5,0.33,0.76,0.22,0.85,0.53,0.33,0.78,0.44,0.69,0.57,0,0.74,0,1,0.5
,,,PCA,0.28,0.8,0.78,0.31,0.54,0,0.74,0,1,0.5,0.4,0.8,0.44,0.77,0.61,0.3,0.76,0.33,0.73,0.53,0,0.74,0,1,0.5
,,,LDA,0.18,0.67,0.33,0.46,0.4,0.33,0.75,0.11,0.92,0.52,0.23,0.72,0.33,0.62,0.47,0.23,0.72,0.33,0.62,0.47,0,0.74,0,1,0.5
,,,PCA+LDA,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0.36,0.81,0.56,0.65,0.6,0,0.74,0,1,0.5
,,NI+RD+CI,None,0.28,0.8,0.78,0.31,0.54,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0.33,0.78,0.44,0.69,0.57,0,0.74,0,1,0.5
,,,PCA,0.28,0.8,0.78,0.31,0.54,0,0.74,0,1,0.5,0.14,0.67,0.22,0.54,0.38,0.36,0.81,0.56,0.65,0.6,0,0.74,0,1,0.5
,,,LDA,0.18,0.67,0.33,0.46,0.4,0,0.72,0,0.88,0.44,0.18,0.67,0.33,0.46,0.4,0.19,0.68,0.33,0.5,0.42,0,0.74,0,1,0.5
,,,PCA+LDA,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0,0.74,0,0.96,0.48,0.45,0.83,0.56,0.77,0.66,0,0.74,0,1,0.5
,20,NI/RD,None,0.27,0.78,0.78,0.27,0.52,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0.36,0.79,0.44,0.73,0.59,0,0.74,0,1,0.5
,,,PCA,0.35,0.87,0.78,0.5,0.64,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0,0.71,0,0.85,0.42,0,0.74,0,1,0.5
,,,LDA,0.26,0.75,0.67,0.35,0.51,0.24,0,0.89,0,0.44,0.18,0.71,0.22,0.65,0.44,0.22,0.71,0.44,0.46,0.45,0,0.74,0,1,0.5
,,,PCA+LDA,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0,0.74,0,1,0.5,0.13,0.7,0.11,0.73,0.42,0,0.74,0,1,0.5
,,NI+RD,None,0.28,0.8,0.78,0.31,0.54,0,0.74,0,1,0.5,0.4,0.77,0.22,0.88,0.55,0.31,0.77,0.44,0.65,0.55,0,0.74,0,1,0.5
,,,PCA,0.28,0.8,0.78,0.31,0.54,0,0.74,0,1,0.5,0.5,0.77,0.22,0.92,0.57,0.29,0.75,0.22,0.81,0.51,0,0.74,0,1,0.5
,,,LDA,0.19,0.68,0.33,0.5,0.42,0.71,0,0,0.85,0.42,0.13,0.65,0.22,0.5,0.36,0.17,0.7,0.22,0.62,0.42,0,0.74,0,1,0.5
,,,PCA+LDA,0,0.74,0,0.96,0.48,0,0.74,0,1,0.5,0,0.73,0,0.96,0.48,0.4,0.8,0.44,0.77,0.61,0,0.74,0,1,0.5
,,NI+RD+CI,None,0.28,0.8,0.78,0.31,0.54,0,0.74,0,1,0.5,0.26,0.75,0.78,0.23,0.5,0.36,0.79,0.44,0.73,0.59,0,0.74,0,1,0.5
